Date,Symbol,Open,High,Low,Close,Volume,Volume_Millions,Year,Month,Quarter,Weekday,Month_Name
2023-09-28,MSFT,306.37299129807553,310.79635260217924,304.8558759902322,308.9836730957031,19683600,19.6836,2023,9,Q3,Thursday,September
2023-09-29,AAPL,170.3514112168,171.39122924497295,168.68769934956754,169.5492706298828,51861100,51.8611,2023,9,Q3,Friday,September
2023-09-29,GOOGL,132.36706001789275,133.1317899299604,129.46706319600682,129.96363830566406,30859800,30.8598,2023,9,Q3,Friday,September
2023-09-29,MSFT,313.03259381243663,314.7270594095326,310.303728837514,311.0622863769531,24147300,24.1473,2023,9,Q3,Friday,September
2023-10-02,AAPL,169.55919331240622,172.60931959526494,169.2719978061565,172.0646514892578,52164500,52.1645,2023,10,Q4,Monday,October
2023-10-02,GOOGL,130.31124518071243,133.49924885517964,130.27151068608651,133.25096130371094,22288000,22.288,2023,10,Q4,Monday,October
2023-10-02,MSFT,311.5844531197729,317.11118175682213,310.50077789049766,317.0224914550781,20570000,20.57,2023,10,Q4,Monday,October
2023-10-03,AAPL,170.589111258527,171.94583284163102,169.16309162808642,170.72775268554688,49594600,49.5946,2023,10,Q4,Tuesday,October
2023-10-03,GOOGL,133.0225394165618,133.34033959843973,130.9369179473362,131.5228729248047,22989400,22.9894,2023,10,Q4,Tuesday,October
2023-10-03,MSFT,316.0668823806455,316.6185961714055,306.5897075763458,308.73736572265625,21033500,21.0335,2023,10,Q4,Tuesday,October
2023-10-04,AAPL,169.43043127173715,172.5201776911012,169.31160010164683,171.9755096435547,53020300,53.0203,2023,10,Q4,Wednesday,October
2023-10-04,GOOGL,131.880399206417,134.64137051208016,131.6221856279351,134.31362915039062,26752300,26.7523,2023,10,Q4,Wednesday,October
2023-10-04,MSFT,309.36780894776786,315.2885921855911,309.33825553994615,314.224609375,20720100,20.7201,2023,10,Q4,Wednesday,October
2023-10-05,AAPL,172.10423261632292,173.74813426454526,171.00499899742474,173.21337890625,48527900,48.5279,2023,10,Q4,Thursday,October
2023-10-05,GOOGL,134.14480590820312,134.5619271771739,132.53589226586496,134.14480590820312,19832600,19.8326,2023,10,Q4,Thursday,October
2023-10-05,MSFT,314.35270217569223,315.22950343215035,310.22490561454885,314.6186828613281,16965600,16.9656,2023,10,Q4,Thursday,October
2023-10-06,AAPL,172.1141468247828,176.26350633418187,171.50015053588783,175.7683563232422,57266700,57.2667,2023,10,Q4,Friday,October
2023-10-06,GOOGL,133.09205033852737,137.2136326834235,133.09205033852737,136.63760375976562,27597600,27.5976,2023,10,Q4,Friday,October
2023-10-06,MSFT,311.8504393547701,324.3027984562463,311.6041508921413,322.4014587402344,25673600,25.6736,2023,10,Q4,Friday,October
2023-10-09,AAPL,175.09493761742715,177.31321501974588,174.09474007424367,177.25379943847656,42390800,42.3908,2023,10,Q4,Monday,October
2023-10-09,GOOGL,136.00197439996847,137.9882745602618,134.68108297486128,137.47183227539062,19278100,19.2781,2023,10,Q4,Monday,October
2023-10-09,MSFT,319.9287244962823,325.396316538082,318.3820256796938,324.9234619140625,19891200,19.8912,2023,10,Q4,Monday,October
2023-10-10,AAPL,176.37245706568626,177.97673842144718,176.2239029815132,176.65963745117188,43698000,43.698,2023,10,Q4,Tuesday,October
2023-10-10,GOOGL,137.55130737519204,138.76295187271583,136.38932342021002,137.11431884765625,27786600,27.7866,2023,10,Q4,Tuesday,October
2023-10-10,MSFT,326.0465014357721,326.1844374022075,322.80536699864604,323.5146789550781,20557100,20.5571,2023,10,Q4,Tuesday,October
2023-10-11,AAPL,176.4714678376734,178.10547200469523,175.87729686757618,178.0559539794922,47551100,47.5511,2023,10,Q4,Wednesday,October
2023-10-11,GOOGL,137.63077293396748,140.1434420270241,137.63077293396748,139.5872802734375,25884300,25.8843,2023,10,Q4,Wednesday,October
2023-10-11,MSFT,326.29271423048544,327.878827154157,324.25346913505325,327.4847717285156,20063200,20.0632,2023,10,Q4,Wednesday,October
2023-10-12,AAPL,178.3233466007442,180.57131695227565,177.30332359387822,178.95713806152344,56743100,56.7431,2023,10,Q4,Thursday,October
2023-10-12,GOOGL,140.08383585702484,140.25266956903684,137.3129383696769,138.01808166503906,24765500,24.7655,2023,10,Q4,Thursday,October
2023-10-12,MSFT,325.66232361261683,328.67689206438564,323.83978293130957,326.2435607910156,19313100,19.3131,2023,10,Q4,Thursday,October
2023-10-13,AAPL,179.6602521369707,180.16529977566205,176.41206884050376,177.1151885986328,51427100,51.4271,2023,10,Q4,Friday,October
2023-10-13,GOOGL,138.42526533908884,139.0410135497291,135.68416137323422,136.41909790039062,23420500,23.4205,2023,10,Q4,Friday,October
2023-10-13,MSFT,327.44539972348696,328.8738545851508,321.5147550613679,322.86444091796875,21072400,21.0724,2023,10,Q4,Friday,October
2023-10-16,AAPL,175.03554253225204,177.3429435766639,174.79786506856496,176.98643493652344,52517000,52.517,2023,10,Q4,Monday,October
2023-10-16,GOOGL,137.22356395410557,138.6735699418657,137.0448041887176,138.14720153808594,28501900,28.5019,2023,10,Q4,Monday,October
2023-10-16,MSFT,326.1351780044602,331.1496376805438,325.69187679980854,327.70159912109375,22158000,22.158,2023,10,Q4,Monday,October
2023-10-17,AAPL,174.93649062028842,176.6893258679855,173.10444466932296,175.431640625,57549400,57.5494,2023,10,Q4,Tuesday,October
2023-10-17,GOOGL,137.6804094322447,138.9416992051521,136.24032959877303,138.762939453125,23515800,23.5158,2023,10,Q4,Tuesday,October
2023-10-17,MSFT,324.6968264635894,328.50936673162636,322.5491984669727,327.1301574707031,18338500,18.3385,2023,10,Q4,Tuesday,October
2023-10-18,AAPL,173.87689630601963,175.85749653944856,173.4114540423014,174.13436889648438,54764400,54.7644,2023,10,Q4,Wednesday,October
2023-10-18,GOOGL,138.4947833931161,139.75608830865576,136.4389704924277,137.01499938964844,23375000,23.375,2023,10,Q4,Wednesday,October
2023-10-18,MSFT,327.5538080369347,330.60779111602983,323.42601082295175,325.2091369628906,23153600,23.1536,2023,10,Q4,Wednesday,October
2023-10-19,AAPL,174.33243269200634,176.11497599372035,173.49068662646167,173.75807189941406,59302900,59.3029,2023,10,Q4,Thursday,October
2023-10-19,GOOGL,137.55127423904338,138.70333186969393,136.43895109456216,136.80641174316406,26066000,26.066,2023,10,Q4,Thursday,October
2023-10-19,MSFT,327.2188179633477,331.87860610828534,325.99723691191247,326.4011535644531,25052100,25.0521,2023,10,Q4,Thursday,October
2023-10-20,AAPL,173.60950111647477,173.71843472751576,170.96540176933075,171.2030792236328,64244000,64.244,2023,10,Q4,Friday,October
2023-10-20,GOOGL,136.38931869741043,136.9256131371894,134.1547307488375,134.67117309570312,26335700,26.3357,2023,10,Q4,Friday,October
2023-10-20,MSFT,326.7952048674921,326.9922476443287,320.6183016458001,321.8201904296875,25027700,25.0277,2023,10,Q4,Friday,October
2023-10-23,AAPL,169.25219112217718,172.32211231863303,168.2816861592976,171.32191467285156,55980100,55.9801,2023,10,Q4,Monday,October
2023-10-23,GOOGL,134.11499648001524,136.7170603116326,133.0324663979107,135.56500244140625,26317900,26.3179,2023,10,Q4,Monday,October
2023-10-23,MSFT,320.63799913570296,327.79022513571806,319.57404629112153,324.43084716796875,24374700,24.3747,2023,10,Q4,Monday,October
2023-10-24,AAPL,171.3714282347356,171.98540943587548,169.78694209599936,171.7576446533203,43816600,43.8166,2023,10,Q4,Tuesday,October
2023-10-24,GOOGL,136.8858785332984,138.40539695654883,136.47868335993908,137.85916137695312,44814300,44.8143,2023,10,Q4,Tuesday,October
2023-10-24,MSFT,326.38145191312543,326.91344339948563,322.73640078016155,325.6228942871094,31153600,31.1536,2023,10,Q4,Tuesday,October
2023-10-25,AAPL,170.21277093543313,171.38131769667615,168.99469104064445,169.44033813476562,57157000,57.157,2023,10,Q4,Wednesday,October
2023-10-25,GOOGL,127.28213165074476,127.43109811714302,124.21329363165228,124.74959564208984,84366200,84.3662,2023,10,Q4,Wednesday,October
2023-10-25,MSFT,339.8977298889024,341.06023414202036,332.60759828291276,335.6123352050781,55053800,55.0538,2023,10,Q4,Wednesday,October
2023-10-26,AAPL,168.71743481214864,169.71764765287952,164.06302704400315,165.2711944580078,70625300,70.6253,2023,10,Q4,Thursday,October
2023-10-26,GOOGL,122.42561458962273,123.47835889189942,120.43931430693331,121.44239807128906,57061100,57.0611,2023,10,Q4,Thursday,October
2023-10-26,MSFT,335.48431600999555,336.558130148408,322.08621701756,323.0221252441406,37828500,37.8285,2023,10,Q4,Thursday,October
2023-10-27,AAPL,165.29099661436564,167.321114882013,165.2117707914918,166.58828735351562,58499100,58.4991,2023,10,Q4,Friday,October
2023-10-27,GOOGL,122.03828847268005,122.4653433429545,119.38657937399506,121.3331527709961,44566500,44.5665,2023,10,Q4,Friday,October
2023-10-27,MSFT,325.52436476789876,331.7209906231655,323.5245037451174,324.91357421875,29856500,29.8565,2023,10,Q4,Friday,October
2023-10-30,AAPL,167.38049830433684,169.50963710831374,167.23194424845474,168.63816833496094,51131000,51.131,2023,10,Q4,Monday,October
2023-10-30,GOOGL,122.36603750768184,124.54103891080094,121.90918931644462,123.60747528076172,28940100,28.9401,2023,10,Q4,Monday,October
2023-10-30,MSFT,328.46012188812404,334.41045907381,326.9035620962308,332.3022155761719,22828100,22.8281,2023,10,Q4,Monday,October
2023-10-31,AAPL,167.70734668146844,169.24229991901694,166.27139928771217,169.1135711669922,44846000,44.846,2023,10,Q4,Tuesday,October
2023-10-31,GOOGL,124.20336261171083,124.51124432870175,121.8496014676639,123.2300796508789,26292300,26.2923,2023,10,Q4,Tuesday,October
2023-10-31,MSFT,333.8193356921157,333.9671027335216,329.721092711598,333.0903015136719,20265300,20.2653,2023,10,Q4,Tuesday,October
2023-11-01,AAPL,169.34129385969914,172.53995851269775,168.4698250558493,172.28248596191406,56934900,56.9349,2023,11,Q4,Wednesday,November
2023-11-01,GOOGL,123.22013718892472,125.62355870184368,122.87253615641731,125.58383178710938,30082400,30.0824,2023,11,Q4,Wednesday,November
2023-11-01,MSFT,334.74542515005817,342.2621536122384,334.6074891841975,340.93218994140625,28158800,28.1588,2023,11,Q4,Wednesday,November
2023-11-02,AAPL,173.81746191423957,176.05553449603235,173.7580463313888,175.8475799560547,77334800,77.3348,2023,11,Q4,Thursday,November
2023-11-02,GOOGL,127.54034444912548,128.09650612590542,126.06055280075913,126.61671447753906,27124600,27.1246,2023,11,Q4,Thursday,November
2023-11-02,MSFT,342.0847902707167,343.6511811792391,339.65145922211735,343.1487731933594,24348100,24.3481,2023,11,Q4,Thursday,November
2023-11-03,AAPL,172.54986629941328,175.10484194774793,171.66849996074876,174.9364776611328,79829200,79.8292,2023,11,Q4,Friday,November
2023-11-03,GOOGL,127.1430941962939,128.64274555866953,126.9841865255831,128.2156982421875,26393100,26.3931,2023,11,Q4,Friday,November
