Date,Symbol,Window_Days,Window_Type,Volatility,Volatility_Pct,VaR_95,VaR_95_Pct,VaR_99,VaR_99_Pct,Skewness,Kurtosis,Excess_Kurtosis,Max_Drawdown,Max_Drawdown_Pct,Year,Month,Quarter,Risk_Level
2025-07-17,GOOGL,30,30-Day,0.24499210490584014,24.499210490584016,-0.016141425072589404,-1.6141425072589404,-0.03225411924114297,-3.2254119241142973,-0.3839358442616379,0.4289007847490178,-2.571099215250982,-0.07508403046243774,-7.508403046243774,2025,7,Q3,Medium
2025-07-18,GOOGL,30,30-Day,0.2377945105578279,23.77945105578279,-0.015120449126647117,-1.5120449126647117,-0.03179045320120588,-3.179045320120588,-0.48086336447133,0.8644368327580527,-2.1355631672419473,-0.07508403046243774,-7.508403046243774,2025,7,Q3,Medium
2025-07-21,GOOGL,30,30-Day,0.23706616674593306,23.706616674593306,-0.015120449126647117,-1.5120449126647117,-0.03179045320120588,-3.179045320120588,-0.4665654595786732,0.8979305655842027,-2.1020694344157973,-0.07508403046243778,-7.508403046243778,2025,7,Q3,Medium
2025-07-22,GOOGL,30,30-Day,0.24677823429954474,24.677823429954472,-0.015120449126647117,-1.5120449126647117,-0.03179045320120588,-3.179045320120588,-0.46111948996481694,0.601096743529391,-2.398903256470609,-0.07508403046243799,-7.5084030462437985,2025,7,Q3,Medium
2025-07-23,GOOGL,30,30-Day,0.23195184039408087,23.195184039408087,-0.015120449126647117,-1.5120449126647117,-0.03179045320120588,-3.179045320120588,-0.6320484684095616,0.9158737630728875,-2.0841262369271125,-0.07508403046243771,-7.508403046243771,2025,7,Q3,Medium
2025-07-24,GOOGL,30,30-Day,0.23067762947038678,23.067762947038677,-0.015120449126647117,-1.5120449126647117,-0.03179045320120588,-3.179045320120588,-0.5170477594199546,0.8685423939927994,-2.1314576060072006,-0.07508403046243778,-7.508403046243778,2025,7,Q3,Medium
2025-07-25,GOOGL,30,30-Day,0.22920408624466027,22.920408624466027,-0.015120449126647117,-1.5120449126647117,-0.03179045320120588,-3.179045320120588,-0.5107999598112606,0.9407366385785614,-2.0592633614214386,-0.06856501278286097,-6.856501278286096,2025,7,Q3,Medium
2025-07-28,GOOGL,30,30-Day,0.22751561214219762,22.751561214219763,-0.015120449126647117,-1.5120449126647117,-0.03179045320120588,-3.179045320120588,-0.6027351370987568,1.133764757900654,-1.866235242099346,-0.0655088748516452,-6.55088748516452,2025,7,Q3,Medium
2025-07-29,GOOGL,30,30-Day,0.2253125813101012,22.53125813101012,-0.015120449126647117,-1.5120449126647117,-0.03179045320120588,-3.179045320120588,-0.6464578205895142,1.3306790843052645,-1.6693209156947355,-0.06550887485164521,-6.5508874851645205,2025,7,Q3,Medium
2025-07-30,GOOGL,30,30-Day,0.22682876295835103,22.682876295835104,-0.015120449126647117,-1.5120449126647117,-0.03179045320120588,-3.179045320120588,-0.7620239676434115,1.3944404087603472,-1.6055595912396528,-0.06550887485164537,-6.550887485164537,2025,7,Q3,Medium
2025-07-31,GOOGL,30,30-Day,0.22552138530245625,22.552138530245625,-0.015120449126647117,-1.5120449126647117,-0.03179045320120588,-3.179045320120588,-0.7216201129472284,1.4354673501002835,-1.5645326498997165,-0.06115371779019694,-6.115371779019694,2025,7,Q3,Medium
2025-08-01,GOOGL,30,30-Day,0.23788186503049755,23.788186503049754,-0.01982525525512046,-1.982525525512046,-0.03419650242829571,-3.419650242829571,-0.6941227173603995,0.8271001589185416,-2.1728998410814584,-0.046907490384234196,-4.690749038423419,2025,8,Q3,Medium
2025-08-04,GOOGL,30,30-Day,0.237549971104121,23.7549971104121,-0.01982525525512046,-1.982525525512046,-0.03419650242829571,-3.419650242829571,-0.6953954926249709,0.844441947655445,-2.155558052344555,-0.037653280962701825,-3.7653280962701827,2025,8,Q3,Medium
2025-08-05,GOOGL,30,30-Day,0.2166333333044655,21.663333330446548,-0.014889684913115653,-1.4889684913115653,-0.021152730690756225,-2.1152730690756223,-0.0995470192725565,-0.30290976899016453,-3.3029097689901645,-0.03765328096270193,-3.765328096270193,2025,8,Q3,Medium
2025-08-06,GOOGL,30,30-Day,0.2136758821313254,21.367588213132542,-0.014889684913115653,-1.4889684913115653,-0.021152730690756225,-2.1152730690756223,-0.1216481408076703,-0.17087646559182312,-3.170876465591823,-0.037653280962701985,-3.7653280962701983,2025,8,Q3,Medium
2025-08-07,GOOGL,30,30-Day,0.21340872389836574,21.340872389836573,-0.014889684913115653,-1.4889684913115653,-0.021152730690756225,-2.1152730690756223,-0.10489792008821544,-0.15825450604505376,-3.1582545060450538,-0.037653280962701874,-3.7653280962701876,2025,8,Q3,Medium
2025-08-08,GOOGL,30,30-Day,0.20666195108020483,20.66619510802048,-0.014889684913115653,-1.4889684913115653,-0.021152730690756225,-2.1152730690756223,-0.03779656943152996,0.09337228674496334,-2.9066277132550367,-0.037653280962701964,-3.7653280962701965,2025,8,Q3,Medium
2025-08-11,GOOGL,30,30-Day,0.2120642559860428,21.20642559860428,-0.014889684913115653,-1.4889684913115653,-0.021152730690756225,-2.1152730690756223,-0.0004788701071150627,-0.05416771745348781,-3.054167717453488,-0.03765328096270186,-3.765328096270186,2025,8,Q3,Medium
2025-08-12,GOOGL,30,30-Day,0.20065693372328938,20.065693372328937,-0.014889684913115653,-1.4889684913115653,-0.021152730690756225,-2.1152730690756223,0.011534508639117778,0.19494376720437545,-2.8050562327956245,-0.03765328096270198,-3.765328096270198,2025,8,Q3,Medium
2025-08-13,GOOGL,30,30-Day,0.19520268261460788,19.52026826146079,-0.014889684913115653,-1.4889684913115653,-0.021152730690756225,-2.1152730690756223,-0.09650423639519799,0.4575720769506657,-2.5424279230493343,-0.037653280962701825,-3.7653280962701827,2025,8,Q3,Low
2025-08-14,GOOGL,30,30-Day,0.19708247281621463,19.708247281621464,-0.014889684913115653,-1.4889684913115653,-0.021152730690756225,-2.1152730690756223,-0.07793601868992411,0.33766847030397784,-2.662331529696022,-0.037653280962702054,-3.7653280962702054,2025,8,Q3,Low
