Date,Symbol,Cumulative_Return_Simple,Cumulative_Return_Log,Cumulative_Return_Simple_Pct,Cumulative_Return_Log_Pct,Year,Month,Quarter,Month_Name
2023-09-19,AAPL,0.0061807880950697225,0.0061617653677226315,0.6180788095069722,0.6161765367722631,2023,9,Q3,September
2023-09-19,GOOGL,-0.0012302562327924926,-0.0012310136192416482,-0.12302562327924926,-0.12310136192416482,2023,9,Q3,September
2023-09-19,MSFT,-0.0012459336528797271,-0.0012467104735251113,-0.12459336528797271,-0.12467104735251114,2023,9,Q3,September
2023-09-20,AAPL,-0.013934867705247989,-0.014032869467106393,-1.3934867705247989,-1.4032869467106392,2023,9,Q3,September
2023-09-20,GOOGL,-0.03234205458682593,-0.032876616329158344,-3.234205458682593,-3.2876616329158344,2023,9,Q3,September
2023-09-20,MSFT,-0.02519290084232073,-0.025515674576357852,-2.519290084232073,-2.551567457635785,2023,9,Q3,September
2023-09-21,AAPL,-0.02270052215928109,-0.022962145925099542,-2.270052215928109,-2.296214592509954,2023,9,Q3,September
2023-09-21,GOOGL,-0.0562187190372454,-0.05786083357720058,-5.62187190372454,-5.786083357720058,2023,9,Q3,September
2023-09-21,MSFT,-0.028961297073886838,-0.029388952652906017,-2.896129707388684,-2.9388952652906015,2023,9,Q3,September
2023-09-22,AAPL,-0.017868183070804844,-0.01802974651067769,-1.7868183070804844,-1.802974651067769,2023,9,Q3,September
2023-09-22,GOOGL,-0.0575936001330416,-0.059318675077569764,-5.7593600133041605,-5.9318675077569765,2023,9,Q3,September
2023-09-22,MSFT,-0.03661934095711039,-0.037306660716320744,-3.661934095711039,-3.7306660716320743,2023,9,Q3,September
2023-09-25,AAPL,-0.010619804304768499,-0.010676596868311948,-1.0619804304768499,-1.067659686831195,2023,9,Q3,September
2023-09-25,GOOGL,-0.05137117376360478,-0.05273767781104075,-5.137117376360479,-5.273767781104075,2023,9,Q3,September
2023-09-25,MSFT,-0.035008711650943436,-0.035636205301458335,-3.5008711650943436,-3.5636205301458332,2023,9,Q3,September
2023-09-26,AAPL,-0.03376983832550928,-0.03435321054665275,-3.3769838325509283,-3.4353210546652755,2023,9,Q3,September
2023-09-26,GOOGL,-0.06974886965275706,-0.07230069665564032,-6.974886965275706,-7.230069665564032,2023,9,Q3,September
2023-09-26,MSFT,-0.05141898051655347,-0.052788074716862005,-5.141898051655347,-5.278807471686201,2023,9,Q3,September
2023-09-27,AAPL,-0.042366666098139105,-0.043290315505186,-4.236666609813911,-4.3290315505186,2023,9,Q3,September
2023-09-27,GOOGL,-0.055495261229075776,-0.05709457482613495,-5.549526122907578,-5.7094574826134945,2023,9,Q3,September
2023-09-27,MSFT,-0.049443843835701884,-0.05070803814203639,-4.944384383570188,-5.0708038142036385,2023,9,Q3,September
2023-09-28,AAPL,-0.04090575254839535,-0.04176593212712528,-4.090575254839535,-4.176593212712528,2023,9,Q3,September
2023-09-28,GOOGL,-0.042688790750500916,-0.04362674786460044,-4.268879075050092,-4.362674786460044,2023,9,Q3,September
2023-09-28,MSFT,-0.04686056726836718,-0.047994076762901274,-4.686056726836718,-4.799407676290127,2023,9,Q3,September
2023-09-29,AAPL,-0.03798392544890772,-0.038724118943463046,-3.798392544890772,-3.8724118943463046,2023,9,Q3,September
2023-09-29,GOOGL,-0.053179929448412544,-0.05464620326577693,-5.317992944841254,-5.464620326577693,2023,9,Q3,September
2023-09-29,MSFT,-0.04044855117732471,-0.04128934452096935,-4.044855117732471,-4.128934452096935,2023,9,Q3,September
2023-10-02,AAPL,-0.023711750691994382,-0.0239973987668078,-2.371175069199438,-2.3997398766807803,2023,10,Q4,October
2023-10-02,GOOGL,-0.02923089698429937,-0.0296666319487866,-2.923089698429937,-2.96666319487866,2023,10,Q4,October
2023-10-02,MSFT,-0.022062769073657673,-0.022309792063921738,-2.2062769073657673,-2.2309792063921736,2023,10,Q4,October
2023-10-03,AAPL,-0.031297263354125304,-0.03179748748320443,-3.1297263354125304,-3.1797487483204425,2023,10,Q4,October
2023-10-03,GOOGL,-0.04182048575056041,-0.042720134171552,-4.182048575056041,-4.2720134171552,2023,10,Q4,October
2023-10-03,MSFT,-0.047620365569265743,-0.048791548018118705,-4.762036556926574,-4.879154801811871,2023,10,Q4,October
2023-10-04,AAPL,-0.02421753811392169,-0.024515604823940405,-2.421753811392169,-2.4515604823940405,2023,10,Q4,October
2023-10-04,GOOGL,-0.021489075820446013,-0.021723327998254858,-2.1489075820446013,-2.1723327998254858,2023,10,Q4,October
2023-10-04,MSFT,-0.030693554357350217,-0.03117446771444388,-3.0693554357350217,-3.117446771444388,2023,10,Q4,October
2023-10-05,AAPL,-0.017193915278615135,-0.017343447144078317,-1.7193915278615135,-1.7343447144078317,2023,10,Q4,October
2023-10-05,GOOGL,-0.022718998560087855,-0.022981051670862434,-2.2718998560087855,-2.2981051670862436,2023,10,Q4,October
2023-10-05,MSFT,-0.02947793355949324,-0.029921139444019067,-2.947793355949324,-2.9921139444019067,2023,10,Q4,October
2023-10-06,AAPL,-0.0026970711687572813,-0.0027007148181312068,-0.2697071168757281,-0.2700714818131207,2023,10,Q4,October
2023-10-06,GOOGL,-0.0045582955476329845,-0.0045687162559532556,-0.45582955476329845,-0.45687162559532557,2023,10,Q4,October
2023-10-06,MSFT,-0.005469964102801317,-0.00548497913593779,-0.5469964102801317,-0.548497913593779,2023,10,Q4,October
2023-10-09,AAPL,0.005731276233610361,0.005714914954218867,0.5731276233610361,0.5714914954218867,2023,10,Q4,October
2023-10-09,GOOGL,0.0015192836300328416,0.001518130686276693,0.15192836300328416,0.1518130686276693,2023,10,Q4,October
2023-10-09,MSFT,0.002309801897020236,0.002307138405255315,0.2309801897020236,0.23071384052553148,2023,10,Q4,October
2023-10-10,AAPL,0.002360023850448645,0.0023572433679718246,0.23600238504486448,0.23572433679718247,2023,10,Q4,October
2023-10-10,GOOGL,-0.001085297876638025,-0.0010858872388393895,-0.1085297876638025,-0.10858872388393895,2023,10,Q4,October
2023-10-10,MSFT,-0.0020359506694994645,-0.002038026034436276,-0.20359506694994645,-0.2038026034436276,2023,10,Q4,October
2023-10-11,AAPL,0.010282670408674255,0.010230163388148457,1.0282670408674255,1.0230163388148457,2023,10,Q4,October
2023-10-11,GOOGL,0.016930891437196394,0.016789161401733383,1.6930891437196394,1.6789161401733383,2023,10,Q4,October
2023-10-11,MSFT,0.01021081931693324,0.010159041068638967,1.021081931693324,1.0159041068638968,2023,10,Q4,October
2023-10-12,AAPL,0.015395954410562629,0.015278639290959182,1.539595441056263,1.5278639290959182,2023,10,Q4,October
2023-10-12,GOOGL,0.005498857396883494,0.005483793876750178,0.5498857396883494,0.5483793876750178,2023,10,Q4,October
2023-10-12,MSFT,0.006381985653924005,0.006361707016399203,0.6381985653924005,0.6361707016399203,2023,10,Q4,October
2023-10-13,AAPL,0.0049448036316266375,0.004932618243208469,0.49448036316266375,0.49326182432084686,2023,10,Q4,October
2023-10-13,GOOGL,-0.006150169520126814,-0.006169159714670287,-0.6150169520126814,-0.6169159714670287,2023,10,Q4,October
2023-10-13,MSFT,-0.004041776762579219,-0.004049966817978151,-0.4041776762579219,-0.40499668179781506,2023,10,Q4,October
2023-10-16,AAPL,0.004214260278969428,0.004205405153936874,0.42142602789694283,0.4205405153936874,2023,10,Q4,October
2023-10-16,GOOGL,0.006439530410517813,0.006418885217397802,0.6439530410517813,0.6418885217397802,2023,10,Q4,October
2023-10-16,MSFT,0.010879679052763214,0.010820921138618652,1.0879679052763214,1.082092113861865,2023,10,Q4,October
