Symbol_Base,Symbol_Compare,Comparison_Pair,Base_Total_Return_Pct,Compare_Total_Return_Pct,Return_Difference_Pct,Base_Annual_Return_Pct,Compare_Annual_Return_Pct,Annual_Return_Difference_Pct,Base_Volatility_Pct,Compare_Volatility_Pct,Volatility_Difference_Pct,Base_Sharpe_Ratio,Compare_Sharpe_Ratio,Sharpe_Difference,Winner_Return,Winner_Risk_Adjusted,Winner_Low_Risk,Performance_Category
AAPL,GOOGL,AAPL vs GOOGL,35.6020147343278,81.78931748069932,-46.18730274637153,19.1149981283204,34.66282038400376,-15.547822255683355,24.71789721158483,33.34920885069518,-8.631311639110347,0.7733262245043057,1.0393895860975184,-0.26606336159321275,GOOGL,GOOGL,AAPL,Underperformer
AAPL,MSFT,AAPL vs MSFT,35.6020147343278,57.32875402115993,-21.72673928683213,19.1149981283204,25.302315909144475,-6.187317780824072,24.71789721158483,16.59712112488331,8.12077608670152,0.7733262245043057,1.524500286450875,-0.7511740619465693,MSFT,MSFT,MSFT,Underperformer
GOOGL,AAPL,GOOGL vs AAPL,81.78931748069932,35.6020147343278,46.18730274637153,34.66282038400376,19.1149981283204,15.547822255683355,33.34920885069518,24.71789721158483,8.631311639110347,1.0393895860975184,0.7733262245043057,0.26606336159321275,GOOGL,GOOGL,AAPL,Outperformer
GOOGL,MSFT,GOOGL vs MSFT,81.78931748069932,57.32875402115993,24.460563459539397,34.66282038400376,25.302315909144475,9.360504474859283,33.34920885069518,16.59712112488331,16.75208772581187,1.0393895860975184,1.524500286450875,-0.48511070035335657,GOOGL,MSFT,MSFT,Outperformer
MSFT,AAPL,MSFT vs AAPL,57.32875402115993,35.6020147343278,21.72673928683213,25.302315909144475,19.1149981283204,6.187317780824072,16.59712112488331,24.71789721158483,-8.12077608670152,1.524500286450875,0.7733262245043057,0.7511740619465693,MSFT,MSFT,MSFT,Outperformer
MSFT,GOOGL,MSFT vs GOOGL,57.32875402115993,81.78931748069932,-24.460563459539397,25.302315909144475,34.66282038400376,-9.360504474859283,16.59712112488331,33.34920885069518,-16.75208772581187,1.524500286450875,1.0393895860975184,0.48511070035335657,GOOGL,MSFT,MSFT,Underperformer
